"original canceled date","resurrected canceled date","original created date","resurrected created date","original end date","resurrected end date","original next charge date","resurrected next charge date","original plan","resurrected plan","days to resurrection",student_id,"original subscription ID","resurrected subscription ID"
"2021-04-19 00:00:00",NULL,"2021-01-28 23:46:06","2021-05-28 15:39:16","2021-04-21 00:00:00",NULL,"2021-04-21 03:00:00","2023-05-28 00:00:00",annually,annually,37,5334,4369,4369
"2020-02-02 02:00:00","2021-05-30 00:00:00","2021-01-28 23:46:34","2021-05-30 03:49:20","2021-02-01 00:00:00","2022-05-30 00:00:00","2021-02-02 02:00:00","2022-05-30 00:00:00",annually,annually,118,2851,4398,4398
"2021-05-31 00:00:00",NULL,"2021-04-29 20:56:08","2021-05-31 10:44:18","2021-05-29 00:00:00","2021-10-04 00:00:00","2021-05-29 00:00:00","2021-09-30 00:00:00",monthly,monthly,2,149617,4446,4446
"2021-03-15 00:00:00","2022-06-03 00:00:00","2021-01-28 23:46:06","2021-06-03 10:48:53","2021-04-15 00:00:00","2022-06-03 00:00:00","2021-04-15 03:00:00","2023-06-03 00:00:00",annually,annually,49,19005,4552,4552
NULL,"2022-09-23 00:00:00","2021-01-28 23:44:54","2021-06-25 02:10:31","2021-06-16 00:00:00","2022-09-25 00:00:00","2021-06-07 03:00:00","2022-09-25 00:00:00",annually,annually,9,9952,4711,4711
"2021-02-19 00:00:00","2021-11-18 00:00:00","2021-01-28 23:44:54","2021-06-27 14:06:55","2021-02-25 00:00:00","2021-11-27 00:00:00","2021-02-25 02:00:00","2021-11-27 00:00:00",monthly,monthly,122,6408,4719,4719
NULL,NULL,"2021-01-28 23:46:06","2021-06-29 03:03:37","2021-03-03 00:00:00","2021-08-02 00:00:00","2021-02-27 02:00:00","2021-07-29 00:00:00",monthly,monthly,118,3367,4728,4728
NULL,"2021-12-27 00:00:00","2021-01-28 23:44:53","2021-06-30 14:19:35","2021-06-25 00:00:00","2021-12-30 00:00:00","2021-06-21 00:00:00","2021-12-30 00:00:00",monthly,monthly,5,5791,4737,4737
NULL,NULL,"2021-03-02 20:36:58","2021-07-01 00:14:47","2021-06-06 00:00:00","2021-09-05 00:00:00","2021-06-02 00:00:00","2021-09-01 00:00:00",monthly,monthly,25,2943,4739,4739
NULL,NULL,"2021-01-28 23:44:54","2021-07-01 07:40:02","2021-06-26 00:00:00",NULL,"2021-06-17 03:00:00","2023-07-01 00:00:00",annually,annually,5,18868,4742,4742
NULL,NULL,"2021-04-11 10:34:14","2021-07-03 08:36:11","2021-06-15 00:00:00","2021-08-07 00:00:00","2021-06-11 00:00:00","2021-08-03 00:00:00",monthly,monthly,18,148901,4751,4751
"2021-05-27 00:00:00","2021-07-05 00:00:00","2021-05-26 18:20:35","2021-07-05 19:50:20","2021-06-01 00:00:00","2021-08-05 00:00:00","2022-05-26 00:00:00","2021-08-05 00:00:00",annually,monthly,34,156080,4768,4768
"2021-03-17 00:00:00","2021-11-13 00:00:00","2021-01-28 23:46:34","2021-07-13 21:27:01","2021-04-05 00:00:00","2021-12-13 00:00:00","2021-04-05 03:00:00","2021-12-13 00:00:00",annually,monthly,99,5684,4825,4825
"2020-07-08 03:00:00","2022-07-14 00:00:00","2021-01-28 23:44:54","2021-07-14 15:41:36","2021-07-08 00:00:00","2022-07-14 00:00:00","2021-07-08 03:00:00","2023-07-14 00:00:00",annually,annually,6,2324,4829,4829
"2021-06-04 00:00:00",NULL,"2021-03-17 12:02:03","2021-07-21 01:02:20","2021-06-09 00:00:00",NULL,"2022-05-17 00:00:00","2023-07-21 00:00:00",annually,annually,42,147005,4890,4890
